customer_id,address_id,first_name,last_name,email,phone_number,date_of_birth,registration_date,age,income,gender,customer_status,loyalty_tier,credit_score,marketing_opt_in,created_at,updated_at,notes
813997,086c9593-cbe4-4bea-8dc7-afe58a111611,Nicholas,Reyes,g*****************t,2**********8,1979-10-01,2022-10-30,26,204658.65,Male,INACTIVE,GOLD,410,True,2024-03-06 06:48:33,2020-12-11 08:50:48,Frequent buyer
802136,d3dc97c7-94d1-4539-8f5d-deac40f1138e,Kristen,Taylor,d************************g,3********1,1952-10-10,2021-05-25,22,44798.72,Male,ACTIVE,SILVER,739,True,2023-08-11 18:53:42,2020-12-15 17:07:56,Payment issues resolved
825362,045e7506-36ec-4a20-b402-f154439f6371,Russell,Martinez,y***************m,0*************7,1977-07-13,2023-08-19,37,374974.27,Female,SUSPENDED,BRONZE,732,False,2024-07-13 05:55:50,2023-07-11 16:20:15,VIP customer
337737,31e9d777-0e99-4e2f-b035-845b581208f0,Nancy,Alexander,v*****************g,7**********8,1962-06-20,2024-07-13,47,364723.2,Male,ACTIVE,GOLD,307,False,2021-02-15 08:29:09,2024-12-07 17:41:32,Complaint history
56013,500061ca-679a-4fa0-b0a6-0cca732ed6b5,Tiffany,Dickson,a******************************t,0*************9,1955-05-18,2020-03-03,72,120636.15,Male,ACTIVE,BRONZE,418,True,2024-01-05 07:15:19,2020-12-02 23:16:45,High value account
449486,57def910-a9e5-44c4-acd5-055856bdaf2a,Courtney,Thompson,k****************g,(*************7,1951-07-01,2021-01-04,56,412306.91,Female,ACTIVE,GOLD,368,False,2021-06-09 18:51:03,2022-10-08 09:18:01,High value account
235896,d9e70de0-e336-42a6-9c35-6f58177b2643,Christine,Taylor,f**********************m,(*************9,1952-09-05,2022-12-02,85,91696.88,Female,INACTIVE,BRONZE,424,False,2021-01-25 01:58:59,2021-04-23 07:19:39,Complaint history
777338,c11b3035-1bb9-44cc-b541-d4f3c4193112,Carolyn,Black,e********************t,(*************2,1960-04-29,2024-05-02,55,92729.29,Female,ACTIVE,BRONZE,348,False,2021-04-28 15:42:04,2023-10-04 03:30:19,Payment issues resolved
469655,04a115bc-77cf-46df-a2d6-79dd685d528a,Kristen,Butler,j**********************g,(***********9,1982-08-04,2023-09-08,33,326208.81,Male,ACTIVE,BRONZE,484,False,2023-08-15 08:57:20,2020-08-19 14:45:05,High value account
832355,3a155c39-3ceb-4cb3-950b-0842c82c943a,Theresa,Morgan,b**********************t,3*************3,1994-09-17,2024-02-01,24,36680.61,Male,PENDING,BRONZE,510,True,2024-01-30 07:01:09,2022-04-04 17:15:02,Complaint history
357569,97dad996-5a6d-4177-a517-671603ec4f01,Kevin,Valentine,r*******************g,6**********0,1983-07-22,2021-08-01,39,389828.32,Female,ACTIVE,BRONZE,775,True,2024-05-13 17:12:50,2021-07-11 12:13:58,Frequent buyer
934665,8dac9366-474d-4b0b-9764-f0dfaf45eb39,Lisa,Brennan,p**********************t,5********5,1957-05-04,2020-07-09,58,366781.85,Female,INACTIVE,BRONZE,504,False,2022-12-14 22:45:56,2021-05-21 23:46:05,Seasonal customer
273763,625cb1c1-8d6e-46ef-a1a7-15fdf093e48d,John,White,j*************************m,4*************4,1967-09-15,2021-04-27,34,46438.32,Female,ACTIVE,BRONZE,688,True,2024-09-25 23:57:46,2023-04-04 11:00:26,Complaint history
263917,2bc0792c-f91c-4903-882b-b4a2da12f54e,Melissa,Jefferson,s***********************t,+*************5,1973-11-23,2020-01-30,47,233041.44,Female,ACTIVE,GOLD,545,True,2022-07-16 10:36:56,2020-01-01 23:31:20,Seasonal customer
977926,2743873f-0237-475f-a12b-b40b9fafe42d,Joseph,Kelly,r********************m,0*************1,2004-07-13,2022-06-18,79,337757.97,Female,ACTIVE,BRONZE,421,True,2022-09-19 04:33:13,2022-08-14 11:15:58,Corporate account
340092,370529cf-0616-4cf6-90db-212779a3cea3,Wendy,Murray,m***********************g,6**********8,1965-12-16,2021-12-19,27,121746.16,Not Specified,ACTIVE,SILVER,618,True,2021-04-15 11:07:35,2024-03-22 18:55:35,Excellent payment history
483579,8fe65a1b-4221-49bb-a87b-7eb25e3b3b27,Brian,Baker,t*****************t,9********4,1951-11-24,2021-03-20,83,210562.37,Not Specified,ACTIVE,GOLD,587,False,2021-11-01 10:59:09,2024-11-06 07:19:24,Complaint history
874490,e44ba2f9-060b-452b-9f97-959a93e13383,Lori,Hoffman,p******************t,+*************5,1991-02-20,2020-02-25,70,406916.59,Male,ACTIVE,PLATINUM,783,True,2022-10-12 12:24:14,2023-01-14 18:57:29,Complaint history
770577,04315abd-7294-48dc-addb-ff55a149c903,Elizabeth,Colon,c*******************t,+*************3,1959-07-02,2022-08-28,22,38838.48,Male,ACTIVE,GOLD,609,False,2022-01-24 08:18:24,2023-11-15 04:40:09,Frequent buyer
234016,2d28a02b-a965-4357-8daa-cf72660e81fe,Michael,Turner,g************************t,+*************5,1951-10-19,2024-06-16,37,261119.42,Female,PENDING,PLATINUM,675,False,2021-03-16 03:55:50,2024-11-24 13:07:33,VIP customer
811574,ff96dafc-db33-4e6e-8b4a-a7252185000b,Sara,Martin,m********************m,+*************5,1977-08-21,2021-04-25,19,41337.29,Female,ACTIVE,BRONZE,672,True,2023-06-15 23:55:50,2023-10-28 15:25:37,Corporate account
454045,efe48be2-2e79-4168-a073-98f224c0848d,Michael,Cole,n**********************t,4**********2,1961-09-11,2024-01-11,88,332415.85,Female,ACTIVE,SILVER,780,True,2024-12-31 19:35:24,2023-10-24 22:28:28,Complaint history
362054,a513988d-4d0a-4e62-ad49-3847c7b75d49,Isaiah,Mays,m*****************m,5********6,1984-06-08,2024-12-04,27,227296.24,Female,ACTIVE,GOLD,536,True,2021-12-06 23:23:41,2024-05-02 01:49:47,Excellent payment history
136110,aae87092-ca19-4149-847a-a1aa9f5f7edd,Becky,Miller,s****************g,0*************9,1955-12-21,2021-09-20,30,170054.09,Male,ACTIVE,BRONZE,523,False,2022-03-08 05:34:58,2020-03-13 20:31:36,Seasonal customer
120309,2b934ab4-cfcb-4779-b098-0b82107aee37,Joseph,Jackson,h***************t,(*************8,1999-12-10,2021-02-05,65,479181.74,Female,ACTIVE,SILVER,796,True,2021-10-15 05:22:38,2024-05-27 07:47:17,Complaint history
